Name,CHT,KOR
Common_Return,返回,뒤로 가기
Common_Seal,封印,봉인
Common_Unseal,解除封印,봉인 해제
Common_Reset,重置,초기화
UI_Potiondex_Name,聖物圖鑒,성물 도감
UI_HolySworddex_Name,神兵圖鑒,신병 도감
UI_Potiondex_Generate,生成一個自選聖物,선택한 성물 생성
UI_RedSoul_Desc_0,瘋狂聚寶盆現在會在遊戲中亂入，擊敗其會獲得大量獎勵,"광란의 보물 상자가 무작위로 등장하며, 이를 처치하면 대량의 보상을 획득할 수 있습니다."
UI_RedSoul_Desc_1,瘋狂寶物庫現在會加入進隨機房間中，當玩家進入瘋狂寶物庫，將會遭遇巨型瘋狂聚寶盆,"광란의 보물고가 무작위로 나타나며, 보물고에 들어가면, 거대한 광란의 보물 상자와 조우합니다."
UI_RedSoul_Desc_2,血媚娘現在會出現在中轉站，收取紅魂出售強力裝備給玩家,피의 여인이 경유지에 나타나 붉은 혼으로 살 수 있는 강력한 장비를 판매합니다.
UI_RedSoul_Desc_3,解放基地塚中的劍塚，使玩家可以在劍塚中自選神兵，但在自選模式下，玩家通關時，將無法提升難度。,"기지묘 안의 검총을 해금하면 검총에서 신병을 자유롭게 고를 수 있지만, 선택 모드에서 해당 난이도를 정복해도 난이도를 높일 수 없습니다."
UI_RedSoul_Desc_4,解放基地塚中的寶庫，使玩家可以在寶庫中自選聖物，但在自選模式下，玩家通關時，將無法提升難度。,"기지묘 안의 보고를 해금하면 보고에서 성물을 고를 수 있지만, 선택 모드에서 해당 난이도를 정복해도 난이도를 높일 수 없습니다."
UI_RedSoul_Desc_5,使玩家可以花費紅魂封印神兵，將其移出掉落列表。,붉은 혼을 소모하여 신병의 봉인을 해제하고 드랍 목록에서 제외합니다.
UI_RedSoul_Desc_6,使玩家可以花費紅魂封印聖物，將其移出掉落列表。,붉은 혼을 소모하여 성물의 봉인을 해제하고 드랍 목록에서 제외합니다.
UI_RedSoul_Desc_7,小偷將會允許你最多拿走2個獎勵。,도둑이 보상 2개를 추가로 줍니다.
UI_RedSoul_Desc_8,靈魂鐵匠將允許你使用紅魂來強化和洗練神兵。,영혼 대장장이가 붉은 혼을 사용하여 신병을 강화하고 정제합니다.
UI_RedSoul_Desc_9,解鎖新宗派佛像[神行迷蹤天尊],새로운 종파 불상 해금: 신행미종천존
UI_RedSoul_Desc_10,可以消耗紅魂來鎖定詞條,붉은 혼을 사용해 부착 효과를 잠글 수 있습니다.
UI_RedSoul_Name_0,瘋狂至寶,광란의 보물
UI_RedSoul_Name_1,瘋狂寶物庫,광란의 보물고
UI_RedSoul_Name_2,血之契,피의 맹약
UI_RedSoul_Name_3,石門解封：劍塚,석문해방: 검총
UI_RedSoul_Name_4,石門解封：寶庫,석문해방: 보고
UI_RedSoul_Name_5,神兵封印,신병봉인
UI_RedSoul_Name_6,聖物封印,성물봉인
UI_RedSoul_Name_7,盜亦成雙,도역성쌍
UI_RedSoul_Name_8,血色鑄造,혈색주조
UI_RedSoul_Name_9,神行迷蹤天尊的記憶,신행미종천존의 기억
UI_RedSoul_Name_10,血色洗練,혈색제련
UI_RedSoul_Title,赤魂奇珍,적혼기진
UI_RedSoul_ShowUnlock,切換已解鎖的商品,해금 물품 새로고침
Trail_Name_1,<color=#CB484B>勸君莫停</color>,<color=#CB484B>진군불식</color>
Trail_Name_2,<color=#CB484B>以瞬代步</color>,<color=#CB484B>즉시이동</color>
Trail_Name_3,<color=#CB484B>貪婪吞噬</color>,<color=#CB484B>탐식</color>
Trail_Name_4,<color=#CB484B>顫慄夢魘</color>,<color=#CB484B>전율몽염</color>
Trail_Name_5,<color=#CB484B>屍山血海</color>,<color=#CB484B>시산혈해</color>
Trail_Name_6,<color=#CB484B>天干物燥</color>,<color=#CB484B>천지건조</color>
Trail_Name_7,<color=#CB484B>五行不破</color>,<color=#CB484B>오행불파</color>
Trail_Name_8,<color=#CB484B>體弱多病</color>,<color=#CB484B>병약체질</color>
Trail_Name_9,<color=#CB484B>急走瘋狂</color>,<color=#CB484B>광속질주</color>
Trail_Name_10,<color=#CB484B>赤紅血疫</color>,<color=#CB484B>적혈병</color>
Trail_Desc_1,玩家進入戰鬥後會隨著時間損失生命值，生命越多損失越快，獲得10%的所有傷害吸血。,게임 시작 후 시간이 지날수록 생명력을 잃습니다. 생명력이 많을수록 소모량이 커지지만 모든 피해의 10%를 생명력으로 흡혈합니다.
Trail_Desc_2,玩家移速減慢80%(無法再獲得移速加成），延長瞬身距離與無敵時間。,이동 속도가 80% 감소하며 이동 속도 상승 효과가 사라지지만 질주 거리와 무적 상태의 지속 시간이 증가합니다.
Trail_Desc_3,所有怪物獲得吸血能力，小怪成功命中玩家恢復12%的生命，首領命中玩家恢復5%的生命,"모든 괴물이 흡혈 능력을 얻습니다. 일반 적이 플레이어를 성공적으로 공격하면 생명력의 12%를 회복하고, 우두머리가 플레이어를 공격하면 생명력의 5%를 회복합니다."
Trail_Desc_4,首領的生命提高50%，造成的傷害提高40%。,"우두머리의 생명력이 50%, 피해가 40% 증가합니다."
Trail_Desc_5,所有非首領的怪物生命提高100%，造成的傷害提高30%。,"우두머리가 아닌 모든 적의 생명력이 100%, 피해가 30% 증가합니다."
Trail_Desc_6,所有怪物受到的近戰與飛劍傷害降低50%，受到的屬性傷害提升25%,모든 적에게 주는 근접 및 비검 공격의 피해가 50% 감소하지만 속성 피해가 25% 증가합니다.
Trail_Desc_7,所有怪物受到的屬性傷害降低50%，受到的近戰與飛劍傷害提升25%,모든 적에게 주는 속성 피해가 50% 감소하지만 근접 및 비검 공격의 피해가 25% 증가합니다.
Trail_Desc_8,玩家生命上限降低50%，受到的所有傷害提高20%,당신의 최대 생명력이 50% 감소하고 모든 받는 피해가 20% 증가합니다.
Trail_Desc_9,所有非首領敵人的移動速度提高25%,우두머리가 아닌 모든 적의 이동 속도가 25% 증가합니다.
Trail_Desc_10,普通敵人死亡0.5秒後會發生半徑1.5米範圍的鮮血爆炸，對玩家造成10%生命上限真實傷害，並附加5秒流血效果。,일반 적이 사망하면 0.5초 후 반경 1.5미터 범위로 피의 폭발이 일어납니다. 폭발은 플레이어의 최대 생명력의 10%에 해당하는 고정 피해를 입히고 5초간 출혈 상태를 부여합니다.
COP_Desc_0,直到下次抵達中轉站，攻擊力提高30%。,다음 경유지에 도달할 때까지 공격력이 30% 증가합니다.
COP_Desc_1,直到下次抵達中轉站，獲取藍魂量提高100%,다음 경유지에 도달할 때까지 푸른 혼 획득량이 100% 증가합니다.
COP_Desc_2,直到下次抵達中轉站，不再出現觸手,다음 경유지에 도달할 때까지 촉수가 나타나지 않습니다.
COP_Desc_3,直到下次抵達中轉站，敵人攻擊力變為50%,다음 경유지에 도달할 때까지 적의 공격력이 50% 감소합니다.
COP_Desc_4,直到下次抵達中轉站，敵人血量降低30%,다음 경유지에 도달할 때까지 적의 생명력이 30% 감소합니다.
COP_Desc_5,直到下次抵達中轉站，受到的遠程傷害降低50%,다음 경유지에 도달할 때까지 원거리 피해가 50% 감소합니다.
COP_Desc_6,直到下次抵達中轉站，屬性傷害提高30%,다음 경유지에 도달할 때까지 가하는 속성 피해가 30% 증가합니다.
COP_Desc_7,直到下次抵達中轉站，額外造成50%真實傷害,다음 경유지에 도달할 때까지 50%의 고정 피해가 추가됩니다.
COP_Desc_8,直到下次抵達中轉站，受到的近戰傷害降低30%,다음 경유지에 도달할 때까지 받는 근접 피해가 30% 감소합니다.
